Date,Open,High,Low,Close,Volume,Change
2010-06-14,1683.29,1698.21,1681.95,1690.6,373940505,0.0091
2010-06-15,1687.85,1696.74,1684.52,1690.03,347778069,-0.0003
2010-06-16,1707.98,1710.57,1694.92,1705.33,379960117,0.0091
2010-06-17,1707.29,1711.48,1701.28,1707.92,369769461,0.0015
2010-06-18,1710.4,1712.35,1701.92,1711.95,293741842,0.0024
2010-06-21,1728.37,1741.48,1723.77,1739.68,391909009,0.016200000000000003
2010-06-22,1727.96,1734.42,1723.96,1731.48,404657473,-0.004699999999999999
2010-06-23,1722.52,1731.78,1721.41,1725.82,371812105,-0.0033
2010-06-24,1724.85,1739.87,1721.72,1739.87,313774771,0.008100000000000001
2010-06-25,1721.53,1733.7,1719.08,1729.84,303711639,-0.0058
2010-06-28,1734.53,1735.27,1726.25,1732.03,346985042,0.0013
2010-06-29,1735.31,1739.97,1703.47,1707.76,381278215,-0.013999999999999999
2010-06-30,1678.54,1699.55,1675.47,1698.29,341734771,-0.0055000000000000005
2010-07-01,1687.0,1693.9,1664.54,1686.24,327661746,-0.0070999999999999995
2010-07-02,1688.95,1693.75,1667.38,1671.82,344944795,-0.0086
2010-07-05,1675.43,1680.39,1664.22,1675.37,356620061,0.0021
2010-07-06,1664.87,1684.94,1650.3,1684.94,337490156,0.005699999999999999
2010-07-07,1685.77,1685.77,1668.61,1675.65,345701720,-0.0055000000000000005
2010-07-08,1699.17,1702.65,1692.93,1698.64,330725142,0.0137
2010-07-09,1708.72,1723.14,1697.61,1723.01,471781301,0.0143
2010-07-12,1731.73,1734.05,1724.6,1734.05,345884324,0.0064
2010-07-13,1737.92,1750.48,1732.85,1735.08,412054363,0.0006
2010-07-14,1754.43,1764.81,1754.12,1758.01,534459395,0.0132
2010-07-15,1754.71,1759.19,1748.98,1751.29,392852739,-0.0038
2010-07-16,1751.2,1754.28,1736.66,1738.45,376492772,-0.0073
2010-07-19,1719.14,1737.9,1717.97,1731.95,282114048,-0.0037
2010-07-20,1727.38,1740.82,1724.6,1736.77,308028485,0.0028000000000000004
2010-07-21,1752.69,1755.66,1740.11,1748.78,375929209,0.0069
2010-07-22,1744.7,1752.58,1732.49,1735.53,405179332,-0.0076
2010-07-23,1756.38,1760.62,1745.04,1758.06,372763658,0.013000000000000001
2010-07-26,1760.1,1774.05,1758.99,1769.07,320598967,0.0063
2010-07-27,1775.47,1778.72,1765.42,1768.31,361543307,-0.0004
2010-07-28,1773.69,1775.82,1764.54,1773.47,325704388,0.0029
2010-07-29,1770.44,1776.96,1767.96,1770.88,348621599,-0.0015
2010-07-30,1768.24,1774.74,1754.58,1759.33,370940133,-0.006500000000000001
2010-08-02,1771.38,1784.1,1767.6,1782.27,332860045,0.013000000000000001
