Date,Open,High,Low,Close,Volume,Change
2013-06-12,5070,5140,4960,5010,142662,-0.00988142292490124
2013-06-13,5020,5040,4800,4910,241429,-0.019960079840319334
2013-06-14,4965,5040,4860,4860,125765,-0.010183299389002087
2013-06-17,4820,4930,4580,4640,369088,-0.04526748971193417
2013-06-18,4600,4780,4460,4775,292468,0.02909482758620685
2013-06-19,4775,4815,4670,4670,126848,-0.021989528795811508
2013-06-20,4495,4645,4450,4460,230073,-0.04496788008565311
2013-06-21,4370,4380,4120,4345,256821,-0.02578475336322872
2013-06-24,4345,4450,4285,4330,110633,-0.0034522439585730202
2013-06-25,4280,4330,3855,3935,385126,-0.09122401847575057
2013-06-26,3955,4100,3955,4080,207220,0.03684879288437104
2013-06-27,4110,4270,4110,4245,194822,0.040441176470588314
2013-06-28,4265,4375,4260,4305,166835,0.014134275618374659
2013-07-01,4300,4515,4300,4490,227580,0.04297328687572599
2013-07-02,4415,4495,4410,4475,147225,-0.0033407572383074013
2013-07-03,4410,4540,4300,4300,215927,-0.03910614525139666
2013-07-04,4360,4395,4250,4350,142024,0.011627906976744207
2013-07-05,4410,4480,4345,4360,126551,0.0022988505747125743
2013-07-08,4370,4395,4180,4200,134090,-0.03669724770642202
2013-07-09,4225,4285,4195,4240,88468,0.00952380952380949
2013-07-10,4240,4295,4100,4125,130514,-0.027122641509433998
2013-07-11,4150,4325,4135,4290,148789,0.040000000000000036
2013-07-12,4330,4340,4245,4285,76072,-0.0011655011655011815
2013-07-15,4300,4365,4250,4330,132144,0.010501750291715295
2013-07-16,4375,4740,4375,4605,667480,0.06351039260969982
2013-07-17,4670,4670,4565,4595,183545,-0.0021715526601520097
2013-07-18,4605,4675,4580,4605,141874,0.0021762785636560977
2013-07-19,4675,4720,4600,4635,209311,0.006514657980456029
2013-07-22,4650,4760,4620,4655,218115,0.004314994606256839
2013-07-23,4660,4670,4540,4540,179761,-0.02470461868958107
2013-07-24,4555,4595,4505,4530,145500,-0.0022026431718061845
2013-07-25,4510,4560,4455,4460,175908,-0.015452538631346546
2013-07-26,4475,4555,4455,4510,91129,0.011210762331838486
2013-07-29,4510,4555,4460,4460,90296,-0.011086474501108667
2013-07-30,4460,4510,4435,4445,105252,-0.0033632286995515237
2013-07-31,4450,4530,4405,4520,160780,0.01687289088863886
2013-08-01,4525,4600,4460,4510,194830,-0.0022123893805309214
2013-08-02,4510,4555,4475,4500,112875,-0.0022172949002217113
2013-08-05,4500,4575,4460,4575,171695,0.016666666666666607
2013-08-06,4545,4590,4490,4510,145318,-0.014207650273224015
2013-08-07,4465,4495,4345,4360,243097,-0.03325942350332589
2013-08-08,4400,4990,4400,4650,1942286,0.0665137614678899
2013-08-09,4670,4855,4585,4835,557495,0.03978494623655915
2013-08-12,4865,4895,4750,4770,370667,-0.013443640124095158
2013-08-13,4830,4830,4715,4800,234342,0.0062893081761006275
2013-08-14,4850,4895,4785,4895,342504,0.019791666666666652
2013-08-16,4765,4830,4715,4715,281725,-0.036772216547497405
2013-08-19,4690,4690,4570,4635,261222,-0.016967126193001114
2013-08-20,4600,4655,4400,4400,216409,-0.05070118662351675
2013-08-21,4415,4460,4150,4260,387415,-0.03181818181818186
2013-08-22,4125,4225,4065,4100,236625,-0.03755868544600938
2013-08-23,4120,4400,4120,4230,259797,0.03170731707317076
2013-08-26,4230,4320,4220,4220,116256,-0.0023640661938534313
2013-08-27,4200,4265,4100,4120,169634,-0.023696682464455
2013-08-28,3990,4055,3970,4025,193680,-0.02305825242718451
2013-08-29,4025,4135,4025,4060,126342,0.008695652173912993
2013-08-30,4070,4115,4025,4025,137859,-0.008620689655172376
2013-09-02,3990,4150,3990,4140,89354,0.02857142857142847
2013-09-03,4140,4200,4135,4140,72562,0.0
2013-09-04,4145,4185,4125,4150,76441,0.0024154589371980784
2013-09-05,4175,4195,4130,4130,95908,-0.004819277108433773
2013-09-06,4130,4160,4065,4070,78825,-0.014527845036319653
2013-09-09,4075,4080,4000,4005,128905,-0.01597051597051602
2013-09-10,4055,4065,4000,4050,119460,0.011235955056179803
2013-09-11,4095,4105,4040,4080,91133,0.007407407407407307
2013-09-12,4120,4145,4055,4130,124193,0.01225490196078427
2013-09-13,4160,4170,4120,4140,105391,0.002421307506053294
2013-09-16,4150,4150,4090,4100,125379,-0.009661835748792313
2013-09-17,4100,4120,4060,4075,72984,-0.0060975609756097615
2013-09-23,4055,4150,4055,4110,85653,0.008588957055214674
2013-09-24,4050,4110,4030,4055,75256,-0.01338199513381999
2013-09-25,4075,4130,4040,4130,84142,0.018495684340320562
2013-09-26,4170,4285,4130,4280,264045,0.036319612590798966
2013-09-27,4360,4360,4235,4300,181852,0.004672897196261738
2013-09-30,4230,4275,4170,4185,104016,-0.02674418604651163
2013-10-01,4140,4235,4080,4085,160821,-0.02389486260453999
2013-10-02,4130,4160,4080,4080,75384,-0.001223990208078285
2013-10-04,4050,4060,4015,4040,85935,-0.009803921568627416
2013-10-07,4050,4130,4000,4010,145094,-0.007425742574257432
2013-10-08,3950,4000,3875,3925,204153,-0.021197007481296715
2013-10-10,3935,3965,3860,3860,163662,-0.016560509554140124
2013-10-11,3920,3920,3770,3770,298709,-0.023316062176165775
2013-10-14,3740,3850,3735,3795,134315,0.006631299734747964
2013-10-15,3800,3910,3800,3875,91935,0.021080368906455815
2013-10-16,3990,3990,3800,3805,158673,-0.01806451612903226
2013-10-17,3840,3880,3685,3695,165340,-0.02890932982917216
2013-10-18,3665,3780,3610,3780,132008,0.023004059539918797
2013-10-21,3800,3810,3745,3755,72598,-0.006613756613756627
2013-10-22,3730,3755,3705,3730,80335,-0.0066577896138482195
2013-10-23,3730,3730,3685,3695,138851,-0.009383378016085797
2013-10-24,3675,3790,3660,3780,100272,0.023004059539918797
2013-10-25,3800,3800,3705,3725,101656,-0.014550264550264536
2013-10-28,3760,4160,3745,4100,956144,0.10067114093959728
2013-10-29,4100,4270,4010,4225,628995,0.030487804878048808
2013-10-30,4240,4340,4185,4255,413802,0.007100591715976323
2013-10-31,4195,4290,4165,4290,319281,0.008225616921269108
2013-11-01,4310,4450,4140,4180,887626,-0.02564102564102566
2013-11-04,4200,4260,4170,4180,190621,0.0
2013-11-05,4180,4205,3970,4025,243727,-0.037081339712918715
2013-11-06,4005,4110,3920,3950,324930,-0.018633540372670843
2013-11-07,3950,3975,3765,3800,293288,-0.03797468354430378
2013-11-08,3720,3845,3710,3750,206493,-0.013157894736842146
2013-11-11,3760,3800,3625,3670,228875,-0.021333333333333315
2013-11-12,3600,3745,3600,3705,122760,0.0095367847411445
2013-11-13,3770,3775,3690,3700,110465,-0.0013495276653171517
2013-11-14,3700,3750,3655,3750,124424,0.013513513513513598
2013-11-15,3765,3800,3730,3760,105709,0.002666666666666595
2013-11-18,3730,3790,3730,3730,107010,-0.007978723404255317
2013-11-19,3735,3890,3720,3730,110708,0.0
2013-11-20,3730,3830,3730,3790,106692,0.01608579088471851
2013-11-21,3825,3830,3700,3735,64748,-0.014511873350923521
2013-11-22,3725,3785,3680,3720,73754,-0.004016064257028162
2013-11-25,3705,3760,3695,3700,67668,-0.005376344086021501
2013-11-26,3690,3720,3625,3675,112050,-0.006756756756756799
2013-11-27,3680,3755,3680,3755,108087,0.021768707482993088
2013-11-28,3770,3785,3730,3770,104100,0.003994673768308976
2013-11-29,3760,3800,3730,3745,57448,-0.006631299734747964
2013-12-02,3740,3780,3730,3765,53967,0.005340453938584844
2013-12-03,3750,3895,3750,3795,189709,0.007968127490039834
2013-12-04,3770,3835,3735,3800,100460,0.0013175230566535578
2013-12-05,3810,3830,3750,3750,89365,-0.013157894736842146
2013-12-06,3710,3780,3685,3685,64620,-0.01733333333333331
2013-12-09,3700,3720,3600,3620,138715,-0.01763907734056991
2013-12-10,3595,3610,3405,3515,217109,-0.029005524861878462
2013-12-11,3515,3530,3400,3455,135044,-0.017069701280227556
2013-12-12,3400,3455,3370,3455,86360,0.0
2013-12-13,3475,3475,3390,3400,84583,-0.01591895803183796
2013-12-16,3420,3435,3365,3365,64503,-0.010294117647058787
2013-12-17,3370,3400,3160,3250,225177,-0.034175334323922724
2013-12-18,3225,3240,3105,3170,260088,-0.024615384615384595
2013-12-19,3135,3230,3135,3170,99598,0.0
2013-12-20,3175,3185,3125,3170,108216,0.0
2013-12-23,3220,3435,3180,3390,444160,0.06940063091482651
2013-12-24,3345,3410,3305,3410,89917,0.005899705014749346
2013-12-26,3410,3420,3320,3330,89981,-0.02346041055718473
2013-12-27,3335,3425,3320,3380,65160,0.01501501501501501
2013-12-30,3385,3410,3350,3365,33280,-0.004437869822485174
2014-01-02,3370,3400,3330,3350,58871,-0.004457652303120341
2014-01-03,3320,3350,3100,3265,91409,-0.025373134328358193
2014-01-06,3280,3300,3250,3280,61864,0.004594180704440953
2014-01-07,3245,3350,3245,3345,52707,0.01981707317073167
2014-01-08,3360,3600,3355,3585,441183,0.0717488789237668
2014-01-09,3630,3650,3505,3550,206115,-0.009762900976290068
2014-01-10,3530,3550,3460,3460,130449,-0.025352112676056304
2014-01-13,3460,3630,3450,3625,162431,0.047687861271676235
2014-01-14,3615,3740,3590,3730,226420,0.028965517241379413
2014-01-15,3735,3900,3650,3900,396793,0.04557640750670244
2014-01-16,3900,3935,3835,3910,198390,0.002564102564102555
2014-01-17,3900,3985,3810,3950,351444,0.010230179028132946
2014-01-20,4040,4040,3900,3905,314180,-0.011392405063291089
2014-01-21,3835,4015,3835,4000,218649,0.02432778489116516
2014-01-22,4020,4120,3945,4055,777723,0.013749999999999929
2014-01-23,4070,4070,3980,4050,220561,-0.0012330456226880004
2014-01-24,4020,4050,3925,3995,206886,-0.013580246913580285
2014-01-27,3855,3895,3715,3715,273331,-0.07008760951188986
2014-01-28,3715,3890,3715,3790,148797,0.020188425302826385
2014-01-29,3820,3900,3820,3860,90292,0.01846965699208436
2014-02-03,3800,3930,3800,3810,130539,-0.012953367875647714
2014-02-04,3720,3770,3700,3770,117428,-0.01049868766404205
2014-02-05,3780,3835,3730,3740,84593,-0.007957559681697646
2014-02-06,3730,3930,3710,3930,395132,0.050802139037433136
2014-02-07,3980,4080,3955,4000,338453,0.01781170483460559
2014-02-10,4095,4095,3985,4035,138836,0.008750000000000036
2014-02-11,3990,4035,3930,3935,135355,-0.024783147459727428
2014-02-12,3950,3980,3900,3930,125958,-0.0012706480304955914
2014-02-13,3945,3985,3910,3985,114470,0.013994910941475869
2014-02-14,3990,3995,3865,3880,139565,-0.02634880803011297
2014-02-17,3880,3910,3850,3895,77913,0.0038659793814432852
2014-02-18,3880,3910,3840,3870,77505,-0.006418485237484006
2014-02-19,3850,3885,3825,3870,78986,0.0
2014-02-20,3900,3900,3760,3800,94733,-0.018087855297157618
2014-02-21,3810,3825,3720,3790,111529,-0.0026315789473684292
2014-02-24,3755,3845,3755,3795,88227,0.0013192612137202797
2014-02-25,3840,3875,3800,3830,131405,0.00922266139657446
2014-02-26,3835,3900,3820,3880,92780,0.01305483028720622
2014-02-27,3900,3995,3880,3970,219001,0.02319587628865971
2014-02-28,3970,3975,3915,3920,95739,-0.012594458438287104
2014-03-03,3910,3940,3805,3820,114159,-0.025510204081632626
2014-03-04,3770,3815,3730,3795,109054,-0.00654450261780104
2014-03-05,3700,3745,3485,3520,737826,-0.07246376811594202
2014-03-06,3535,3580,3490,3535,191016,0.0042613636363635354
2014-03-07,3535,3655,3535,3655,206767,0.03394625176803401
2014-03-10,3680,3720,3650,3655,153258,0.0
2014-03-11,3645,3785,3620,3760,176613,0.028727770177838563
2014-03-12,3790,3840,3745,3760,147800,0.0
2014-03-13,3795,3795,3665,3740,162763,-0.005319148936170248
2014-03-14,3730,3920,3700,3895,589788,0.041443850267379734
2014-03-17,3950,4005,3855,3925,474617,0.007702182284980763
2014-03-18,3960,3970,3885,3935,245443,0.002547770700636942
2014-03-19,3940,3965,3800,3870,193586,-0.016518424396442133
2014-03-20,3870,4070,3870,4055,1044326,0.04780361757105944
2014-03-21,4090,4315,4055,4300,1498310,0.06041923551171391
2014-03-24,4330,4340,4220,4320,588887,0.0046511627906977715
2014-03-25,4340,4455,4260,4385,566790,0.01504629629629628
2014-03-26,4400,4415,4080,4125,817086,-0.05929304446978334
2014-03-27,4175,4275,4150,4160,447466,0.00848484848484854
2014-03-28,4180,4200,4090,4170,207390,0.0024038461538462563
2014-03-31,4165,4185,3990,4055,389512,-0.027577937649880147
2014-04-01,4050,4135,4005,4100,218248,0.011097410604192337
2014-04-02,4100,4300,4100,4200,432193,0.024390243902439046
2014-04-03,4240,4250,4110,4110,223479,-0.021428571428571463
2014-04-04,4105,4175,4015,4175,264468,0.015815085158150888
2014-04-07,4130,4170,4085,4130,164997,-0.010778443113772407
2014-04-08,4130,4170,4020,4075,225184,-0.013317191283293006
2014-04-09,4055,4080,3995,4020,133404,-0.013496932515337456
2014-04-10,4030,4090,4000,4050,151978,0.00746268656716409
2014-04-11,3960,4015,3945,3950,207911,-0.024691358024691357
2014-04-14,3950,4020,3940,4020,119628,0.017721518987341867
2014-04-15,4030,4055,3960,3970,126323,-0.01243781094527363
2014-04-16,3970,4020,3960,3980,105002,0.0025188916876575096
2014-04-17,4030,4060,3980,4060,157328,0.0201005025125629
2014-04-18,4065,4090,4010,4015,119935,-0.011083743842364546
2014-04-21,4040,4325,4040,4285,864507,0.06724782067247825
2014-04-22,4260,4275,4205,4230,225484,-0.012835472578763163
2014-04-23,4230,4325,4150,4235,422429,0.0011820330969267712
2014-04-24,4270,4325,4165,4170,277234,-0.015348288075560768
2014-04-25,4185,4215,4005,4080,184151,-0.021582733812949617
2014-04-28,4050,4100,3980,4050,117528,-0.007352941176470562
2014-04-29,4020,4090,4000,4050,127515,0.0
2014-04-30,4050,4175,4050,4075,267748,0.006172839506172867
2014-05-02,4110,4400,4105,4315,864920,0.0588957055214725
2014-05-07,4390,4400,4240,4320,445553,0.0011587485515642815
2014-05-08,4330,4370,4155,4200,394886,-0.02777777777777779
2014-05-09,4230,4300,4185,4300,265813,0.023809523809523725
2014-05-12,4340,4360,4205,4250,285367,-0.011627906976744207
2014-05-13,4335,4560,4325,4540,1365879,0.06823529411764695
2014-05-14,4590,4645,4500,4510,678744,-0.0066079295154185536
2014-05-15,4490,4570,4455,4565,421691,0.012195121951219523
2014-05-16,4495,4600,4470,4570,352456,0.0010952902519167917
2014-05-19,4570,4600,4135,4140,699371,-0.0940919037199125
2014-05-20,4180,4270,4095,4250,375000,0.02657004830917864
2014-05-21,4200,4240,4095,4155,305754,-0.022352941176470575
2014-05-22,4155,4180,4105,4110,209648,-0.010830324909747335
2014-05-23,4130,4235,4130,4230,196066,0.029197080291970767
2014-05-26,4180,4235,4155,4180,140631,-0.011820330969267157
2014-05-27,4180,4230,4100,4165,248879,-0.0035885167464114742
2014-05-28,4185,4205,4110,4115,209510,-0.01200480192076836
2014-05-29,4170,4170,4055,4075,197165,-0.009720534629404587
2014-05-30,4080,4100,3850,3900,454210,-0.042944785276073594
2014-06-02,3905,3945,3730,3890,264300,-0.002564102564102555
2014-06-03,3830,3980,3790,3920,348074,0.007712082262210762
2014-06-05,3865,3950,3760,3770,176708,-0.03826530612244894
2014-06-09,3780,3825,3665,3710,139170,-0.01591511936339518
2014-06-10,3605,3840,3605,3805,239453,0.025606469002695365
2014-06-11,3815,3900,3795,3835,137914,0.007884362680683266
2014-06-12,3845,3845,3760,3800,109179,-0.009126466753585416
2014-06-13,3765,3795,3685,3695,258504,-0.02763157894736845
2014-06-16,3675,3750,3660,3695,155112,0.0
2014-06-17,3710,3775,3690,3720,122231,0.006765899864682012
2014-06-18,3690,3845,3685,3730,152368,0.0026881720430107503
2014-06-19,3830,3830,3720,3745,101245,0.004021447721179516
2014-06-20,3750,3795,3705,3705,106344,-0.010680907877169576
2014-06-23,3710,3760,3670,3700,117191,-0.0013495276653171517
2014-06-24,3680,3715,3625,3660,70226,-0.010810810810810811
2014-06-25,3660,3700,3600,3605,129029,-0.015027322404371546
2014-06-26,3580,3640,3580,3595,73288,-0.00277392510402219
2014-06-27,3605,3645,3575,3640,79705,0.012517385257301727
2014-06-30,3660,3725,3620,3670,72990,0.008241758241758212
2014-07-01,3720,3845,3655,3815,117626,0.03950953678474112
2014-07-02,3815,3865,3770,3815,127506,0.0
2014-07-03,3815,3825,3720,3765,54073,-0.013106159895150737
2014-07-04,3820,3820,3760,3810,97210,0.01195219123505975
2014-07-07,3820,3835,3690,3745,96133,-0.017060367454068248
2014-07-08,3715,3750,3670,3690,113728,-0.014686248331108098
2014-07-09,3690,3730,3660,3665,66527,-0.006775067750677488
2014-07-10,3665,3770,3660,3710,79626,0.012278308321964637
2014-07-11,3710,3770,3710,3730,75404,0.005390835579514919
2014-07-14,3770,3885,3770,3835,304820,0.02815013404825728
2014-07-15,3835,3960,3815,3895,320501,0.015645371577575062
2014-07-16,3910,4000,3865,3970,504876,0.019255455712451797
2014-07-17,3985,4050,3920,3920,750226,-0.012594458438287104
2014-07-18,3875,4010,3875,4005,203603,0.02168367346938771
2014-07-21,4095,4145,3990,4050,335488,0.011235955056179803
2014-07-22,4050,4155,4030,4055,203037,0.0012345679012346622
2014-07-23,4070,4125,3990,4015,175421,-0.009864364981504337
2014-07-24,4020,4040,3920,3960,211079,-0.013698630136986356
2014-07-25,3990,3990,3900,3925,116153,-0.008838383838383868
2014-07-28,3965,3995,3825,3830,137257,-0.02420382165605095
2014-07-29,3815,3845,3665,3695,285206,-0.03524804177545693
2014-07-30,3685,3740,3680,3725,126366,0.008119079837618504
2014-07-31,3705,3725,3495,3565,235309,-0.04295302013422819
2014-08-01,3505,3660,3455,3630,74672,0.018232819074333717
2014-08-04,3605,3925,3590,3860,469625,0.06336088154269981
2014-08-05,3870,4005,3810,3950,366291,0.023316062176165886
2014-08-06,3950,4020,3900,3935,237431,-0.0037974683544304
2014-08-07,3905,4345,3900,4250,1521546,0.08005082592121981
2014-08-08,4300,4300,4110,4275,606018,0.00588235294117645
