Date,Open,High,Low,Close,Volume,Change
2013-06-12,2012,2057,1967,2007,143670,-0.005450941526263575
2013-06-13,1973,2006,1911,1922,226090,-0.04235176880916791
2013-06-14,1939,1978,1843,1900,175408,-0.01144640998959412
2013-06-17,1900,1900,1770,1771,324830,-0.06789473684210523
2013-06-18,1759,1843,1759,1816,229420,0.02540937323546011
2013-06-19,1832,1894,1776,1793,255538,-0.012665198237885478
2013-06-20,1759,1866,1703,1748,248912,-0.025097601784718315
2013-06-21,1703,1708,1630,1653,404841,-0.05434782608695654
2013-06-24,1669,1669,1579,1580,215822,-0.04416212946158504
2013-06-25,1528,1624,1461,1484,379250,-0.06075949367088607
2013-06-26,1534,1568,1467,1523,266437,0.026280323450134757
2013-06-27,1540,1602,1540,1585,275472,0.040709126723571964
2013-06-28,1607,1652,1562,1630,305901,0.028391167192429068
2013-07-01,1630,1675,1630,1647,203190,0.010429447852760676
2013-07-02,1652,1675,1607,1613,248775,-0.020643594414086253
2013-07-03,1607,1647,1562,1563,83090,-0.030998140111593298
2013-07-04,1618,1686,1562,1664,146073,0.06461932181701857
2013-07-05,1686,1697,1618,1619,133722,-0.027043269230769273
2013-07-08,1624,1652,1534,1563,82251,-0.03458925262507717
2013-07-09,1551,1596,1506,1574,174617,0.00703774792066536
2013-07-10,1562,1630,1545,1568,139548,-0.003811944091486663
2013-07-11,1596,1652,1573,1653,154682,0.054209183673469497
2013-07-12,1669,1686,1613,1630,119100,-0.01391409558378709
2013-07-15,1630,1658,1596,1653,82421,0.01411042944785268
2013-07-16,1663,1663,1590,1602,170616,-0.030852994555353952
2013-07-17,1624,1624,1557,1602,174818,0.0
2013-07-18,1618,1624,1573,1596,126266,-0.0037453183520599342
2013-07-19,1602,1618,1562,1580,103376,-0.010025062656641603
2013-07-22,1562,1590,1534,1568,155934,-0.0075949367088608
2013-07-23,1585,1585,1540,1557,112673,-0.007015306122448939
2013-07-24,1585,1585,1528,1551,191142,-0.003853564547206201
