Date,Open,High,Low,Close,Volume,Change
2013-06-12,9046,9255,8868,9077,210878,-0.003075233388248222
2013-06-13,9000,9089,8674,8853,234490,-0.024677756968161324
2013-06-14,8826,9569,8826,9273,603057,0.047441545238902094
2013-06-17,9223,9223,9015,9105,209112,-0.018117114202523488
2013-06-18,8981,9338,8981,9160,268454,0.006040637012630468
2013-06-19,9191,9221,9043,9133,173750,-0.0029475982532750633
2013-06-20,9097,9572,9067,9217,530040,0.009197415964086186
2013-06-21,8934,8964,8725,8965,198632,-0.02734078333514156
2013-06-24,8939,9207,8849,8881,135201,-0.009369771332961463
2013-06-25,8737,8826,8202,8292,259788,-0.06632136020718382
2013-06-26,8345,8583,8286,8376,156912,0.01013024602026058
2013-06-27,8450,8629,8450,8629,149539,0.030205348615090832
2013-06-28,8618,8737,8558,8768,124665,0.016108471433537996
2013-07-01,8736,8796,8617,8796,120807,0.0031934306569343374
2013-07-02,8859,8859,8591,8741,159181,-0.006252842201000419
2013-07-03,8694,8694,8485,8516,128819,-0.025740761926553057
2013-07-04,8473,8622,8444,8712,134211,0.023015500234851993
2013-07-05,8625,8774,8536,8656,145402,-0.006427915518824601
2013-07-08,8575,8605,8485,8516,103417,-0.016173752310536083
2013-07-09,8541,8601,8482,8572,87666,0.006575857209957681
2013-07-10,8523,8523,8316,8376,112172,-0.022865142323845067
2013-07-11,8399,8518,8368,8489,101268,0.013490926456542596
2013-07-12,8511,8541,8451,8572,108258,0.009777358935092462
2013-07-15,8544,8544,8394,8544,123522,-0.003266448903406438
2013-07-16,8502,8770,8473,8741,312571,0.023057116104868935
2013-07-17,8714,8714,8536,8656,126670,-0.009724287838919987
2013-07-18,8595,8595,8535,8685,112276,0.003350277264325241
2013-07-19,8625,8774,8536,8656,198944,-0.003339090385722554
2013-07-22,8566,8596,8536,8656,128180,0.0
2013-07-23,8596,8654,8566,8656,119776,0.0
2013-07-24,8563,8622,8563,8712,137884,0.006469500924214389
2013-07-25,8660,8660,8541,8572,172960,-0.016069788797061557
2013-07-26,8544,8603,8484,8544,131295,-0.003266448903406438
2013-07-29,8519,8548,8460,8460,143979,-0.0098314606741573
2013-07-30,8511,9434,8363,9049,812858,0.06962174940898347
2013-07-31,9017,9255,8689,9077,687081,0.003094264559619919
2013-08-01,9052,9111,8843,8993,292833,-0.009254158863060469
2013-08-02,8957,9136,8868,9077,320519,0.009340598243077869
2013-08-05,8985,9104,8955,9105,196468,0.0030847196210201933
2013-08-06,9085,9115,8816,8937,213770,-0.01845140032948933
2013-08-07,8882,9000,8763,8853,168270,-0.009399127223900683
2013-08-08,8735,8883,8735,8825,114193,-0.003162769682593436
2013-08-09,8849,8910,8760,8881,104960,0.0063456090651559105
2013-08-12,8851,8851,8733,8853,126422,-0.003152798108321142
2013-08-13,8593,8712,7611,8208,647940,-0.07285665875974245
2013-08-14,8144,8233,8085,8264,204655,0.006822612085769952
2013-08-16,8090,8179,7971,8180,172727,-0.010164569215876051
2013-08-19,8034,8123,8003,8124,110391,-0.0068459657701711585
2013-08-20,8013,8043,7894,7984,195837,-0.01723289020187102
2013-08-21,7859,7948,7412,7592,279653,-0.049098196392785565
2013-08-22,7247,7455,7099,7367,261432,-0.029636459430980033
2013-08-23,7443,7682,7116,7564,447581,0.026740871453780457
2013-08-26,7670,8592,7670,8712,1021540,0.15177154944473825
2013-08-27,9174,9472,8489,8937,1968227,0.025826446280991844
2013-08-28,8808,10058,8748,9553,2973481,0.0689269329752713
2013-08-29,9446,9535,8703,8853,1131835,-0.07327541086569667
2013-08-30,8898,9284,8689,9077,584181,0.02530215746074771
2013-09-02,9111,9349,8933,8993,436670,-0.009254158863060469
2013-09-03,8968,9087,8222,8432,815844,-0.06238185255198492
2013-09-04,8431,8521,8074,8432,523178,0.0
2013-09-05,8489,8578,8400,8460,411988,0.0033206831119545477
2013-09-06,8321,8410,8172,8292,250162,-0.019858156028368823
2013-09-09,8259,8407,8170,8320,187642,0.0033767486734201935
2013-09-10,8350,8350,8172,8292,161289,-0.0033653846153846034
2013-09-11,8233,8263,8115,8264,174238,-0.0033767486734201935
2013-09-12,8142,8350,8113,8292,215183,0.0033881897386254245
2013-09-13,8174,8293,8174,8264,103105,-0.0033767486734201935
2013-09-16,7484,7960,7484,7872,422100,-0.047434656340755055
2013-09-17,7889,8127,7889,8068,185548,0.02489837398373984
2013-09-23,8099,8099,7980,8041,97291,-0.0033465542885473543
2013-09-24,7985,7985,7746,7956,132812,-0.010570824524312905
2013-09-25,7953,7984,7864,7984,94623,0.0035193564605329186
2013-09-26,7930,7960,7752,7872,124577,-0.014028056112224463
2013-09-27,7862,8100,7832,8012,149746,0.01778455284552849
2013-09-30,8237,8832,8178,8685,881809,0.08399900149775341
2013-10-01,8508,8538,8003,8152,344643,-0.061370178468624026
2013-10-02,8794,8794,8230,8320,556184,0.02060843964671255
2013-10-04,8189,8218,7891,8041,304967,-0.03353365384615381
2013-10-07,7951,8010,7920,8041,115383,0.0
2013-10-08,7879,8534,7850,8208,664579,0.020768561124238305
2013-10-10,8176,8414,8116,8237,226566,0.0035331384015595546
2013-10-11,8176,8235,8087,8237,159675,0.0
2013-10-14,8200,8497,8200,8320,274589,0.01007648415685325
2013-10-15,8321,8410,8142,8292,182936,-0.0033653846153846034
2013-10-16,8270,8300,8062,8152,196851,-0.016883743367100856
2013-10-17,8099,8159,7980,8041,136351,-0.013616290480863547
2013-10-18,7998,8147,7968,8237,108090,0.02437507772665093
2013-10-21,8144,8233,8025,8264,131223,0.0032778924365666207
2013-10-22,8177,8237,8088,8208,119945,-0.006776379477250738
2013-10-23,8122,8181,8092,8152,119681,-0.006822612085769952
2013-10-24,8060,8149,8060,8180,88879,0.0034347399411187585
2013-10-25,8152,8181,8003,8152,120064,-0.0034229828850855792
2013-10-28,8063,8123,7974,8124,96708,-0.0034347399411187585
2013-10-29,8070,8070,7980,8041,128060,-0.010216642048252123
2013-10-30,7979,8545,7979,8516,492496,0.059072254694689796
2013-10-31,8639,9116,7984,8432,1272534,-0.009863785814936632
2013-11-01,8527,8853,8200,8320,506117,-0.013282732447817858
2013-11-04,7772,8487,7504,8012,1027211,-0.03701923076923075
2013-11-05,7897,8016,7838,7928,242462,-0.010484273589615567
2013-11-06,7867,8016,7838,7928,163998,0.0
2013-11-07,7924,7984,7864,7984,112092,0.007063572149344166
2013-11-08,7933,7933,7755,7815,122820,-0.021167334669338622
2013-11-11,7963,8052,7725,7815,157567,0.0
2013-11-12,7725,7844,7695,7815,164645,0.0
2013-11-13,7790,7850,7672,7732,126910,-0.010620601407549612
2013-11-14,7645,7705,7407,7676,217516,-0.007242628039317078
2013-11-15,7622,7622,7443,7564,127117,-0.014590932777488241
2013-11-18,7751,8523,7632,8376,1226372,0.10735060814383934
2013-11-19,8168,8465,7782,7872,844665,-0.06017191977077363
2013-11-20,7987,8016,7838,7928,235943,0.007113821138211351
2013-11-21,7810,7959,7721,7900,173423,-0.003531786074672083
2013-11-22,7858,8454,7680,8068,672464,0.02126582278481015
2013-11-25,8097,8216,7978,8068,237868,0.0
2013-11-26,8011,8100,7922,8012,182417,-0.006941001487357434
2013-11-27,7985,8014,7866,7956,161241,-0.006989515726410378
2013-11-28,7902,8051,7754,7844,306668,-0.014077425842131674
2013-11-29,7847,7906,7698,7788,171825,-0.007139214686384454
2013-12-02,7732,7762,7554,7703,177784,-0.010914227015921929
2013-12-03,7590,7621,7502,7592,123196,-0.014409970141503359
2013-12-04,7452,7541,7363,7423,141352,-0.022260273972602773
2013-12-05,7446,7505,7416,7536,106493,0.015222955678297234
2013-12-06,7509,7509,7419,7480,99136,-0.007430997876857748
2013-12-09,7447,7506,7417,7508,161201,0.0037433155080213165
2013-12-10,7705,7824,7496,7676,164436,0.02237613212573253
2013-12-11,7588,7648,7499,7619,90254,-0.007425742574257432
2013-12-12,7540,7540,7421,7452,136863,-0.021918886993043674
2013-12-13,7341,7400,7162,7312,188600,-0.018786902844873832
2013-12-16,7269,7299,6971,7032,177968,-0.03829321663019691
2013-12-17,6965,7173,6935,7115,83711,0.011803185437997632
2013-12-18,7088,7148,6939,7059,94838,-0.007870695713281806
2013-12-19,7043,7073,6805,6836,100054,-0.03159087689474427
2013-12-20,6716,7549,6537,7312,420559,0.069631363370392
2013-12-23,7269,7417,6971,7032,225560,-0.03829321663019691
2013-12-24,7001,7328,6882,7032,289399,0.0
2013-12-26,6948,7066,6829,6919,108762,-0.016069397042093314
2013-12-27,6799,6948,6799,6919,99423,0.0
2013-12-30,6827,6977,6827,6948,77473,0.004191357132533602
2014-01-02,7034,7093,6885,6975,93025,0.0038860103626943143
2014-01-03,6911,6971,6822,7032,142311,0.008172043010752583
2014-01-06,7031,7239,7001,7032,177665,0.0
2014-01-07,6999,7059,6939,7059,136096,0.0038395904436860917
2014-01-08,7032,7032,6913,7003,119346,-0.00793313500495818
2014-01-09,7001,7090,6942,7032,138181,0.004141082393259943
2014-01-10,7039,7722,7008,7396,713049,0.05176336746302623
2014-01-13,7403,7492,7165,7255,224697,-0.019064359113034057
2014-01-14,7187,7454,7187,7396,292298,0.019434872501723044
2014-01-15,7369,7399,7250,7340,117795,-0.007571660356949672
2014-01-16,7286,7286,7167,7228,170308,-0.015258855585831066
2014-01-17,7173,7202,7143,7144,137293,-0.011621472053126691
2014-01-20,7173,7202,7113,7144,106173,0.0
2014-01-21,7043,7251,6954,7312,158853,0.023516237402015694
2014-01-22,7318,7318,7169,7200,110607,-0.015317286652078765
2014-01-23,7173,7173,7083,7144,90206,-0.007777777777777772
2014-01-24,7050,7288,7050,7200,136463,0.007838745800671898
2014-01-27,7113,7173,7024,7144,123291,-0.007777777777777772
2014-01-28,7106,7254,7076,7255,118098,0.015537513997760266
2014-01-29,7218,7396,7158,7367,181003,0.015437629221226823
2014-02-03,7277,7336,7158,7367,121030,0.0
2014-02-04,7254,7254,7165,7255,105774,-0.015202931994027447
2014-02-05,7194,7342,7164,7284,143069,0.003997243280496221
2014-02-06,7262,7291,7143,7144,107635,-0.019220208676551387
2014-02-07,6661,6780,6512,6751,416628,-0.055011198208286705
2014-02-10,6690,6809,6690,6751,187634,0.0
2014-02-11,6686,6805,6686,6836,153150,0.012590727299659266
2014-02-12,6809,6809,6690,6751,148557,-0.012434172030427182
2014-02-13,6723,6752,6663,6723,142670,-0.004147533698711348
2014-02-14,6689,6748,6658,6779,93568,0.008329614755317571
2014-02-17,6811,6811,6692,6723,88256,-0.00826080542852925
2014-02-18,6725,6725,6606,6667,105311,-0.008329614755317571
2014-02-19,6665,6665,6577,6667,99568,0.0
2014-02-20,6643,6673,6524,6555,105030,-0.016799160041997885
2014-02-21,6530,6559,6440,6471,158598,-0.01281464530892451
2014-02-24,6372,6670,6372,6611,172711,0.021634986864472294
2014-02-25,6640,6699,6491,6611,87785,0.0
2014-02-26,6522,6641,6522,6583,99327,-0.004235365300257143
2014-02-27,6580,6611,6521,6611,51337,0.004253379917970479
2014-02-28,6530,6559,6440,6471,98569,-0.021176826501285717
2014-03-03,6790,7296,6611,7059,1477422,0.0908669448307835
2014-03-04,6900,6960,6663,6723,412028,-0.047598810029749306
2014-03-05,6755,6844,6665,6667,233843,-0.008329614755317571
2014-03-06,6635,6695,6575,6695,126725,0.004199790010499527
2014-03-07,6738,6947,6738,6948,210782,0.03778939507094847
2014-03-10,6925,6925,6747,6807,143756,-0.020293609671848012
2014-03-11,6809,6809,6690,6751,86842,-0.008226825326869358
2014-03-12,6787,6787,6579,6639,120487,-0.01659013479484517
2014-03-13,6577,6696,6546,6667,84997,0.00421750263593923
2014-03-14,6577,6696,6577,6667,82593,0.0
2014-03-17,6729,6759,6551,6611,114457,-0.008399580020998942
2014-03-18,6579,6668,6549,6639,80301,0.004235365300257143
2014-03-19,6658,6836,6598,6807,146615,0.025305015815634935
2014-03-20,6749,6780,6661,6751,80900,-0.008226825326869358
2014-03-21,6696,6785,6665,6667,82992,-0.012442601096133932
2014-03-24,6577,6665,6546,6667,144475,0.0
2014-03-25,6671,6671,6493,6583,141823,-0.012599370031498469
2014-03-26,6527,6586,6437,6527,156496,-0.008506759835941069
2014-03-27,6467,6556,6437,6527,97362,0.0
2014-03-28,6467,6586,6467,6527,71362,0.0
2014-03-31,6500,6530,6410,6471,104296,-0.008579745671824734
2014-04-01,6439,6498,6439,6500,68997,0.004481532993354964
2014-04-02,6465,6584,6465,6555,137661,0.00846153846153852
2014-04-03,6498,6529,6439,6500,93688,-0.008390541571319576
2014-04-04,6353,6443,6323,6443,191826,-0.008769230769230751
2014-04-07,6383,6443,6353,6443,87553,0.0
2014-04-08,6410,6500,6410,6471,119169,0.004345801645196268
2014-04-09,6440,6470,6410,6471,70068,0.0
2014-04-10,6470,6470,6410,6471,68406,0.0
2014-04-11,6407,6527,6377,6527,126086,0.008653994745788873
2014-04-14,6470,6500,6410,6471,76937,-0.008579745671824734
2014-04-15,6412,6443,6353,6443,79246,-0.004326997372894437
2014-04-16,6386,6416,6267,6387,130760,-0.008691603290392647
2014-04-17,6328,6388,6299,6359,86275,-0.004383904806638528
2014-04-18,6301,6360,6241,6331,139874,-0.004403208051580454
2014-04-21,6244,6275,6215,6275,127597,-0.008845364081503715
2014-04-22,6220,6249,6131,6191,165203,-0.013386454183266894
2014-04-23,6202,6202,5935,5995,236679,-0.03165885963495396
2014-04-24,5948,5948,5442,5771,360930,-0.03736447039199331
2014-04-25,5702,6029,5702,5911,209976,0.024259227170334352
2014-04-28,5828,5917,5739,5799,85789,-0.018947724581289127
2014-04-29,5799,5799,5739,5799,60722,0.0
2014-04-30,5785,6292,5755,5995,475059,0.033798930850146514
2014-05-02,5992,6082,5933,6023,112500,0.004670558798999247
2014-05-07,6032,6032,5765,5855,111685,-0.02789307653993023
2014-05-08,5772,5861,5683,5743,99512,-0.019128949615713098
2014-05-09,5709,5768,5679,5799,85150,0.009751001218875066
2014-05-12,5712,5772,5653,5743,99112,-0.009656837385756178
2014-05-13,5710,5740,5681,5771,67368,0.004875500609437644
2014-05-14,5728,5966,5698,5966,187162,0.03378963784439448
2014-05-15,5902,6052,5843,6023,134705,0.009554140127388644
2014-05-16,5964,6083,5935,5995,93608,-0.00464884608998839
2014-05-19,6029,6029,5762,5911,90117,-0.014011676396997519
2014-05-20,5768,5858,5709,5799,90789,-0.018947724581289127
2014-05-21,5736,5825,5736,5826,46072,0.004655975168132542
2014-05-22,5760,6057,5760,5939,218283,0.01939581187778927
2014-05-23,5854,5973,5765,5855,103545,-0.014143795251725932
2014-05-26,5762,5851,5762,5911,57679,0.009564474807856493
2014-05-27,5823,5942,5734,5883,117636,-0.004736931145322254
2014-05-28,5799,5799,5739,5799,80357,-0.01427842937276902
2014-05-29,5768,5768,5739,5799,85182,0.0
2014-05-30,5741,5801,5712,5743,65619,-0.009656837385756178
2014-06-02,5747,5747,5628,5659,114784,-0.01462650182831271
2014-06-03,5662,5662,5513,5574,105438,-0.015020321611592169
2014-06-05,5523,5642,5315,5435,131799,-0.024937208467886607
2014-06-09,5346,5494,5317,5407,93672,-0.0051517939282428316
2014-06-10,5402,5431,5313,5462,66242,0.010171999260218278
2014-06-11,5401,5489,5401,5491,62368,0.005309410472354559
2014-06-12,5431,5461,5372,5462,60547,-0.005281369513749801
2014-06-13,5434,5434,5345,5435,53749,-0.004943244232881727
2014-06-16,5375,5434,5315,5435,66130,0.0
2014-06-17,5405,5436,5346,5407,54651,-0.0051517939282428316
2014-06-18,5346,5405,5317,5407,63151,0.0
2014-06-19,5345,5434,5315,5435,72713,0.005178472350656493
