Date,Open,High,Low,Close,Volume,Change
2013-06-12,101333,104817,100552,101454,4864,-0.018592323169787983
2013-06-13,101633,101934,95807,99051,4021,-0.02368561121296353
2013-06-14,100553,100553,93585,95027,6560,-0.04062553633986532
2013-06-17,94605,95146,91422,92864,4181,-0.02276195186631169
2013-06-18,92564,97309,92264,96649,4231,0.04075852860096485
2013-06-19,97429,98510,95567,95868,1840,-0.008080787178346371
2013-06-20,93945,96048,92323,94246,2114,-0.01691909709183459
2013-06-21,91422,95747,89560,95267,2903,0.010833351017549786
2013-06-24,95747,95747,93344,93645,2759,-0.017025832659787743
2013-06-25,94065,94065,82772,83674,5631,-0.10647658711089758
2013-06-26,86017,89260,84455,85056,4420,0.016516480627196017
2013-06-27,86016,89740,86016,89861,3576,0.056492193378480104
2013-06-28,89800,90341,88479,90161,1723,0.0033384894448091895
2013-07-01,88839,91242,88839,91002,687,0.009327758121582486
2013-07-02,90822,90822,88719,89861,1541,-0.012538185973934635
2013-07-03,88960,95087,88719,91483,4128,0.01805009959826842
2013-07-04,91002,93105,89621,92084,1464,0.006569526578708684
2013-07-05,92504,93525,90642,91243,1418,-0.009132965553190542
2013-07-08,91363,91363,84995,85056,5647,-0.06780794143112345
2013-07-09,85235,86797,84995,86137,3260,0.01270927389014287
2013-07-10,87638,87638,83614,85056,2276,-0.012549775357860171
2013-07-11,84995,87098,84995,86137,4994,0.01270927389014287
2013-07-12,86257,97009,86257,93105,19488,0.08089438917073966
2013-07-15,92984,93524,90100,90161,13575,-0.03162021373717849
2013-07-16,90642,103556,90642,103617,75009,0.14924412994532
2013-07-17,103556,105719,102235,104698,87897,0.010432651012864724
2013-07-18,102234,105418,98991,102295,55704,-0.022951727826701518
2013-07-19,104817,104817,98690,99832,40113,-0.024077423138960885
2013-07-22,99952,101033,98090,98511,15377,-0.013232230146646318
2013-07-23,98390,99471,95807,96889,31523,-0.01646516632660311
2013-07-24,97069,98631,95928,98511,18059,0.01674080648990084
2013-07-25,98391,99712,93885,93946,20552,-0.04634000263929916
2013-07-26,94906,96468,92984,96048,9979,0.02237455559576773
2013-07-29,95387,97249,90581,91483,13255,-0.04752831917374645
2013-07-30,92263,93525,92023,93405,4853,0.021009367860695516
2013-07-31,92864,97730,92324,95868,15599,0.026369038060060968
2013-08-01,96288,97309,95507,96889,5651,0.010650060499854064
2013-08-02,97610,97610,94366,94727,7484,-0.022314194593813563
2013-08-05,95807,99712,94366,99592,12029,0.051358113315105536
2013-08-06,98450,100853,97369,99352,12070,-0.00240983211502932
2013-08-07,98930,99231,96287,96348,8581,-0.030235928818745483
2013-08-08,96528,97849,94666,96348,5448,0.0
2013-08-09,95928,97850,93044,95027,6724,-0.01371071532361856
2013-08-12,95387,95687,92203,93105,4098,-0.020225830553421642
2013-08-13,93645,95567,92323,94246,5049,0.012254980935503035
2013-08-14,94365,96287,93584,96348,3656,0.02230333382849148
2013-08-16,94245,104396,93945,95567,62647,-0.008106032299580734
2013-08-19,96288,99231,94185,97970,18696,0.02514466290665185
2013-08-20,98631,108602,92504,93105,113113,-0.04965805858936412
2013-08-21,93765,95688,85776,88540,28150,-0.04903066430374303
2013-08-22,86136,89079,84514,85596,13343,-0.03325050824486109
2013-08-23,86016,88659,86016,88239,6168,0.030877611103322655
2013-08-26,88178,89260,86857,89080,6099,0.009530933034145983
2013-08-27,88118,89680,87097,88239,4749,-0.009440951953300414
2013-08-28,86137,87218,84755,85897,5311,-0.026541551921485995
2013-08-29,86016,89440,86016,88239,6135,0.027265212987648058
2013-08-30,89200,89440,87638,88239,4068,0.0
2013-09-02,89019,90041,88178,89080,3045,0.009530933034145983
2013-09-03,89740,89740,88479,89080,3141,0.0
2013-09-04,89080,89620,88539,88840,2160,-0.0026942074539739735
2013-09-05,89319,90581,88478,89380,4967,0.006078343088698812
2013-09-06,89260,89740,88479,89080,2866,-0.0033564555829044274
2013-09-09,88960,89500,87698,87759,3762,-0.014829366861248361
2013-09-10,88118,88118,86076,86377,4734,-0.015747672603379725
2013-09-11,87038,87278,86257,86918,4142,0.006263241372124417
2013-09-12,87218,88840,86917,88840,3653,0.02211279596861404
2013-09-13,88119,89200,87638,88540,1995,-0.0033768572714992784
2013-09-16,88419,88960,86076,86137,4964,-0.02714027558165799
2013-09-17,86377,87458,85596,85897,3013,-0.0027862590988774194
2013-09-23,86076,86797,85536,86377,2506,0.005588088058954277
2013-09-24,86257,86797,86016,86918,2273,0.006263241372124417
2013-09-25,87338,87638,86076,86137,2238,-0.008985480567891613
2013-09-26,85836,90582,85836,87759,7871,0.01883046774324626
2013-09-27,88119,88900,87098,88540,2681,0.008899372144167472
