Date,Open,High,Low,Close,Volume,Change
2013-06-12,11282,11416,11171,11305,1303408,0.0
2013-06-13,11238,11416,11127,11305,1683531,0.0
2013-06-14,11482,11593,11060,11194,1923312,-0.009818664307828406
2013-06-17,11082,11282,10838,11127,1811241,-0.005985349294264752
2013-06-18,11148,11171,10860,10949,2548169,-0.01599712411251908
2013-06-19,10927,11171,10927,11105,3031018,0.014247876518403535
2013-06-20,10927,11260,10927,11105,3459911,0.0
2013-06-21,10905,11016,10638,10905,3407350,-0.01800990544799641
2013-06-24,10905,10927,10661,10661,1800944,-0.02237505731315914
2013-06-25,10660,10749,10460,10505,2128862,-0.014632773661007459
2013-06-26,10771,10815,10415,10527,1231965,0.0020942408376962707
2013-06-27,10749,10860,10616,10816,2031435,0.027453215540989895
2013-06-28,10882,11282,10816,11216,2303786,0.03698224852071008
2013-07-01,11193,11393,11127,11216,1585960,0.0
2013-07-02,11259,11415,11171,11371,1798864,0.013819543509272503
2013-07-03,11371,11571,10838,11016,2453651,-0.031219769589306168
2013-07-04,11060,11215,11015,11038,1367324,0.00199709513434998
2013-07-05,11571,11704,11437,11460,4362099,0.03823156368907421
2013-07-08,11726,12082,11638,11838,4652410,0.03298429319371721
2013-07-09,11970,12193,11748,12082,2289764,0.020611589795573648
2013-07-10,12126,12326,12059,12104,2709186,0.0018208905810295217
2013-07-11,12214,12303,12081,12237,2420608,0.010988103106411184
2013-07-12,12260,12437,12104,12349,1799409,0.009152570074364652
2013-07-15,12214,12681,12103,12548,2182686,0.016114665155073205
2013-07-16,12725,12858,12548,12548,2424712,0.0
2013-07-17,12681,12814,12459,12659,1489568,0.008846031240038243
2013-07-18,12592,12681,12414,12526,1463966,-0.010506359112094188
2013-07-19,12659,12881,12548,12793,2185662,0.021315663420086173
2013-07-22,12748,13348,12704,13193,3134715,0.03126709919487225
2013-07-23,13281,13415,12793,12882,2556820,-0.02357310695065562
2013-07-24,12970,13103,12703,12859,1373695,-0.001785437043937299
2013-07-25,12859,12970,12659,12837,1413915,-0.0017108639863130382
2013-07-26,12770,13280,12770,12970,1859502,0.010360676170444894
2013-07-29,13015,13081,12748,13015,1038848,0.003469545104086258
2013-07-30,13015,13103,12903,13015,827785,0.0
2013-07-31,13103,13303,13014,13170,1921674,0.011909335382251252
2013-08-01,13103,13126,12770,12904,1880112,-0.020197418375094922
2013-08-02,13014,13059,12526,12526,2557969,-0.02929324240545572
2013-08-05,12592,12859,12459,12748,1415007,0.017723135877375062
2013-08-06,12747,12792,12259,12437,3036829,-0.024395983683715095
2013-08-07,12259,12548,12259,12415,1251424,-0.0017689153332797192
2013-08-08,12481,12881,12459,12659,1662302,0.019653644784534796
2013-08-09,12725,12859,12481,12637,1154343,-0.0017378939884666877
2013-08-12,12570,12792,12437,12704,956038,0.005301891271662473
2013-08-13,12725,12881,12614,12748,1593529,0.0034634760705289924
2013-08-14,12836,12836,12414,12548,2654576,-0.015688735487919714
2013-08-16,12303,12481,12303,12415,2318176,-0.010599298693018788
2013-08-19,12482,12993,12437,12882,5597220,0.03761578735400728
2013-08-20,12815,13348,12770,13015,5097678,0.010324483775811188
2013-08-21,13169,13280,12814,12970,2697826,-0.0034575489819439476
2013-08-22,12881,12881,12592,12659,1831216,-0.023978411719352333
2013-08-23,12837,13281,12682,13193,3035010,0.04218342681096443
2013-08-26,13281,13414,13103,13370,2429630,0.013416205563556494
2013-08-27,13325,13725,13303,13348,3252662,-0.0016454749439042127
2013-08-28,13214,13458,13147,13281,2389192,-0.005019478573569103
2013-08-29,13414,13436,13059,13126,2124234,-0.01167080792109032
2013-08-30,13236,13281,13081,13170,1925312,0.0033521255523387694
2013-09-02,13170,13281,12859,13059,2180210,-0.008428246013667429
2013-09-03,13237,13614,13215,13415,3108952,0.02726089287081712
2013-09-04,13481,13681,13303,13548,2820109,0.009914275065225464
2013-09-05,13658,13703,13480,13592,1915935,0.0032477118393858806
2013-09-06,13614,13747,13436,13481,2011361,-0.008166568569746957
2013-09-09,13658,14147,13614,14125,5342423,0.04777093687411904
2013-09-10,14214,14858,14148,14570,5200801,0.03150442477876103
2013-09-11,14657,14769,14391,14769,2733611,0.013658201784488622
2013-09-12,14835,14880,14436,14636,2212242,-0.00900534904191208
2013-09-13,14502,14613,14235,14347,2634250,-0.019745832194588697
2013-09-16,14503,14880,14481,14681,2528975,0.023280128249808296
2013-09-17,14746,15191,14569,15080,2746688,0.027177985150875328
2013-09-23,15258,15524,15058,15147,2270991,0.004442970822281067
2013-09-24,14991,15013,14369,14658,3303437,-0.032283620518914646
2013-09-25,14525,14925,14480,14592,2147693,-0.004502660663119107
2013-09-26,14614,15124,14614,15036,3492146,0.030427631578947345
2013-09-27,15146,15479,15102,15391,2787039,0.023610002660281904
2013-09-30,15235,15480,15124,15369,1859721,-0.0014294067961795331
2013-10-01,15324,15502,14924,15169,1731378,-0.01301320840653264
