Date,Open,High,Low,Close,Volume,Change
2013-06-12,24223,24223,23822,24023,12608,0.004180077749446065
2013-06-13,23522,24723,22922,24423,45152,0.01665070973650251
2013-06-14,24223,24423,22721,23523,64658,-0.036850509765385064
2013-06-17,23322,24623,23222,24223,21150,0.029758109084725648
2013-06-18,24023,25524,23522,25324,52495,0.04545266895099709
2013-06-19,25024,25324,24723,25124,23033,-0.007897646501342614
2013-06-20,25024,25224,24423,25124,27928,0.0
2013-06-21,24523,25024,23722,24724,52739,-0.015921031682853082
2013-06-24,24423,24723,24023,24023,14012,-0.028353017311114725
2013-06-25,24023,24023,22021,22021,59977,-0.0833368022311951
2013-06-26,22321,23422,22221,22822,71401,0.036374369919622174
2013-06-27,23422,23522,22521,23122,55132,0.013145210761545956
2013-06-28,22922,23422,22922,23222,29182,0.004324885390537103
2013-07-01,22922,24623,22922,24624,52944,0.06037378348118172
2013-07-02,24323,25124,24123,24824,38743,0.008122157244964345
2013-07-03,24523,26024,24523,25625,66386,0.032267160812117224
2013-07-04,25624,26425,25524,25825,62955,0.007804878048780495
2013-07-05,26024,26225,25724,26125,40156,0.011616650532429773
2013-07-08,25924,26225,25824,26225,20535,0.00382775119617218
2013-07-09,26225,26325,25424,25825,39682,-0.015252621544327938
2013-07-10,26225,26225,25624,25625,32534,-0.007744433688286589
2013-07-11,26024,26425,25324,26125,54553,0.019512195121951237
2013-07-12,26024,26425,25924,26325,15061,0.007655502392344582
2013-07-15,26425,26425,25524,26025,28977,-0.01139601139601143
2013-07-16,25724,26125,25524,26125,28518,0.003842459173871271
2013-07-17,26225,26525,25724,26025,36595,-0.003827751196172291
2013-07-18,25824,27126,25824,26826,54662,0.03077809798270903
2013-07-19,26825,26925,26125,26626,28103,-0.007455453664355516
2013-07-22,26525,28127,26325,28127,81282,0.05637346954105005
2013-07-23,28227,28627,27326,27727,41930,-0.014221210936111173
2013-07-24,27926,27926,27226,27727,39917,0.0
2013-07-25,27426,27726,26925,27426,46645,-0.010855844483716237
2013-07-26,27226,27426,26825,27126,38023,-0.010938525486764439
2013-07-29,27126,27126,25824,26325,80133,-0.029528865295288642
2013-07-30,26525,26725,25824,26125,56895,-0.007597340930674212
2013-07-31,26325,26725,25624,26726,79494,0.02300478468899514
2013-08-01,26325,26525,25124,25124,107082,-0.059941629873531355
2013-08-02,25324,25924,24623,25725,96582,0.023921350103486727
2013-08-05,25724,26125,25424,25525,34722,-0.007774538386783325
2013-08-06,25624,26024,25124,25825,23887,0.011753183153770719
2013-08-07,25724,26024,25424,25725,17913,-0.0038722168441432947
2013-08-08,25624,26125,25324,26025,19641,0.011661807580174877
2013-08-09,25724,26024,25224,25224,29771,-0.03077809798270892
2013-08-12,25124,26024,25124,25825,35436,0.02382651443070083
2013-08-13,25524,26024,25524,25625,23073,-0.007744433688286589
2013-08-14,25624,26225,25124,26225,50716,0.023414634146341484
2013-08-16,26325,26325,25424,25825,35581,-0.015252621544327938
2013-08-19,25824,26125,25124,25224,33048,-0.02327202323330102
2013-08-20,25024,25424,24723,24724,23063,-0.019822391373295223
2013-08-21,24723,24723,23622,23723,63824,-0.04048697621744057
2013-08-22,23522,23722,22721,23022,61361,-0.029549382455844486
2013-08-23,22821,24023,22621,22822,47689,-0.008687342541916387
2013-08-26,23022,23122,21820,22021,89464,-0.03509771273332751
2013-08-27,21921,22221,21320,21421,46920,-0.027246719040915468
2013-08-28,20819,21820,20819,21721,31555,0.014004948415106577
2013-08-29,22021,22021,21320,21821,25291,0.004603839602228321
2013-08-30,21520,21520,20920,21120,54732,-0.03212501718528027
2013-09-02,21320,21320,20419,21220,36660,0.004734848484848397
2013-09-03,21220,23022,21120,22822,59947,0.07549481621112153
2013-09-04,22821,23222,21921,22422,60767,-0.0175269476820612
2013-09-05,22021,23222,22021,22622,56636,0.008919810900008818
2013-09-06,23022,23022,21520,21521,34527,-0.04866943683140301
2013-09-09,21720,22521,21320,22221,44208,0.03252636959249111
2013-09-10,22121,22321,20920,21521,53214,-0.031501732595292764
2013-09-11,21520,22021,21220,21320,29492,-0.009339714697272461
2013-09-12,21320,22021,21320,21921,28917,0.02818949343339594
2013-09-13,22221,22221,21420,21521,28188,-0.01824734273071482
2013-09-16,21520,22121,21420,21821,27658,0.01393987268249619
2013-09-17,21820,21921,21520,21521,19212,-0.013748224187709046
2013-09-23,21921,22021,21620,21821,26919,0.01393987268249619
2013-09-24,21820,22821,21720,22422,40511,0.02754227578937729
2013-09-25,22621,23222,22421,22822,24332,0.017839621800017857
2013-09-26,22721,23222,22321,22422,35131,-0.0175269476820612
2013-09-27,22721,22821,22321,22321,7947,-0.0045045045045044585
2013-09-30,22221,23022,22021,23022,23737,0.031405402983737396
2013-10-01,23022,23122,22321,22321,24916,-0.03044913560941709
2013-10-02,22321,22521,21921,22121,17928,-0.008960172035303082
2013-10-04,21921,22021,21620,21821,15730,-0.013561773880023553
2013-10-07,21620,22021,21620,22021,8487,0.009165482791805957
2013-10-08,22021,22021,21320,21621,23577,-0.018164479360610275
2013-10-10,21520,21620,21220,21220,9116,-0.01854678322001757
2013-10-11,21220,21520,20719,20720,28652,-0.023562676720075393
2013-10-14,20719,20819,19738,19919,80613,-0.038658301158301156
2013-10-15,20219,20319,20119,20119,9076,0.010040664692002599
2013-10-16,20319,20519,20019,20520,13457,0.01993140812167593
2013-10-17,20519,20719,19418,19979,55691,-0.026364522417154035
2013-10-18,20019,20119,18758,19158,71756,-0.04109314780519546
2013-10-21,19318,19318,18457,18938,49018,-0.011483453387618803
2013-10-22,18938,19698,18938,19699,37474,0.04018375752455383
2013-10-23,19819,20719,19478,20520,58838,0.04167724249961924
2013-10-24,20819,22021,20319,22021,68839,0.07314814814814818
2013-10-25,22021,22321,21320,22121,59937,0.0045411198401525965
2013-10-28,21820,22221,21520,21921,22104,-0.009041182586682295
2013-10-29,21720,21720,21220,21421,30061,-0.022809178413393583
2013-10-30,21220,22021,21020,21421,29197,0.0
2013-10-31,21320,22221,21320,21721,42519,0.014004948415106577
2013-11-01,21620,23122,21620,22722,50866,0.0460844344183049
2013-11-04,22922,23422,22321,23422,30141,0.030807147258163914
2013-11-05,23422,23422,22121,22221,60812,-0.051276577576637394
2013-11-06,22021,22821,21620,22722,22094,0.02254624004320238
2013-11-07,22321,22521,21720,21921,35221,-0.03525217850541329
2013-11-08,21720,22521,21720,22422,28837,0.022854796770220398
2013-11-11,22121,22521,22021,22121,19247,-0.013424315404513387
2013-11-12,22021,22521,21921,22522,26959,0.018127571086298033
2013-11-13,22521,22922,22121,22422,34257,-0.004440103010389884
2013-11-14,22421,23622,22121,23322,72435,0.040139149050040235
2013-11-15,23622,23722,23322,23422,24471,0.004287796929937304
2013-11-18,23322,25524,23222,24824,89699,0.059858252924600786
2013-11-19,24723,25424,24623,25324,27883,0.02014179825974871
2013-11-20,25324,25824,25024,25324,31899,0.0
2013-11-21,25624,25724,24923,25324,28368,0.0
2013-11-22,25324,26425,25024,25825,58409,0.01978360448586325
2013-11-25,26125,26625,25424,25424,34787,-0.015527589545014542
2013-11-26,25824,26024,25024,25424,47394,0.0
2013-11-27,25624,25924,25424,25925,11649,0.01970578980490867
2013-11-28,26225,26225,25624,25925,12573,0.0
2013-11-29,25724,26125,25624,26025,15350,0.0038572806171648377
2013-12-02,25824,26625,25624,25625,23717,-0.015369836695485084
2013-12-03,25624,26024,25024,25925,15860,0.011707317073170742
2013-12-04,25924,26024,25224,25925,16589,0.0
2013-12-05,25824,26024,25324,26025,21784,0.0038572806171648377
2013-12-06,25724,26024,25524,25925,8507,-0.003842459173871271
2013-12-09,25924,26024,25224,25725,21949,-0.0077145612343297865
2013-12-10,25824,25924,25324,25424,17823,-0.011700680272108799
2013-12-11,25324,25624,25024,25424,14246,0.0
2013-12-12,25124,25424,24823,25324,41335,-0.00393329137822529
2013-12-13,25424,25824,25224,25725,15105,0.015834781235191997
2013-12-16,25424,25824,25324,25825,19761,0.0038872691933915515
2013-12-17,25824,25824,25324,25424,13057,-0.015527589545014542
2013-12-18,25724,26024,25224,26025,33693,0.02363908118313396
2013-12-19,25924,26425,25824,26225,51161,0.007684918347742542
2013-12-20,26125,26225,25524,26025,25431,-0.007626310772163913
2013-12-23,26024,26024,25624,26025,28702,0.0
2013-12-24,26024,26024,25624,26025,11854,0.0
2013-12-26,25924,26225,25524,26125,62845,0.003842459173871271
2013-12-27,25724,26325,25524,26125,36984,0.0
2013-12-30,26125,26425,25924,26425,32164,0.011483253588516762
2014-01-02,26425,26625,26225,26525,36230,0.0037842951750235443
2014-01-03,26225,26725,26024,26726,45436,0.007577756833176297
2014-01-06,26425,27025,26425,27026,35935,0.011225024320886012
2014-01-07,26825,27025,26625,26626,18108,-0.014800562421372065
2014-01-08,26425,26925,26425,26926,25246,0.011267182453241098
2014-01-09,26825,27025,26625,27026,20286,0.0037138824927578362
2014-01-10,27025,27126,26725,27126,27339,0.003700140605342961
2014-01-13,26925,27326,26825,27326,30805,0.007373000073729985
2014-01-14,27326,27426,26625,27126,30096,-0.007319036814755209
2014-01-15,26925,27126,25924,25925,32459,-0.04427486544274861
2014-01-16,26024,26024,25324,25625,35086,-0.011571841851494735
2014-01-17,26024,26024,25524,25825,11009,0.007804878048780495
2014-01-20,26125,26125,25624,25925,7628,0.0038722168441431837
