Date,Open,High,Low,Close,Volume,Change
2013-06-12,23794,24563,23270,23271,1607323,-0.02782303546810372
2013-06-13,23129,23408,21975,22817,2475132,-0.019509260452924226
2013-06-14,22954,23339,22674,23062,987858,0.010737607923916315
2013-06-17,24561,24842,23162,23237,1937384,0.007588240395455692
2013-06-18,23095,23901,22779,23552,1323557,0.013555966777122785
2013-06-19,23513,23687,23094,23096,875320,-0.01936141304347827
2013-06-20,22741,24596,22496,23797,1817724,0.030351576030481553
2013-06-21,23335,24700,22986,24461,1909520,0.02790267680800107
2013-06-24,25090,25719,24740,25407,1731856,0.038673807285066086
2013-06-25,26560,26666,24845,25687,2696170,0.011020584878183248
2013-06-26,26135,27361,25400,27226,3020015,0.05991357496009653
2013-06-27,27711,28165,26590,27401,2495122,0.006427679424079846
2013-06-28,27677,30513,27118,29256,6591504,0.06769825918762096
2013-07-01,33624,33624,33624,33630,450573,0.14950779327317476
2013-07-02,35340,38278,35060,36675,9627141,0.09054415700267615
2013-07-03,36460,37299,35758,36395,4665497,-0.007634628493524254
2013-07-04,36254,36533,33980,34191,5577163,-0.06055776892430276
2013-07-05,34082,34956,33032,34120,4234673,-0.0020765698575648806
2013-07-08,34569,34850,33624,33630,1933342,-0.014361078546307193
2013-07-09,33593,33837,31319,31356,4599932,-0.06761819803746649
2013-07-10,31213,33103,30512,32021,4182365,0.021208062252838333
2013-07-11,32368,33173,31913,32091,1870583,0.0021860653945848796
2013-07-12,32194,32647,32157,32651,1515178,0.017450375494687087
2013-07-15,32926,33450,31352,31531,2118043,-0.03430216532418606
2013-07-16,31489,33170,31141,33176,2046393,0.052170879451967966
2013-07-17,33453,35132,33173,34366,3413675,0.03586930311068248
2013-07-18,34433,34888,34119,34366,1391985,0.0
2013-07-19,34713,35414,34503,35276,1610795,0.026479660129197446
2013-07-22,35833,36392,35342,35415,1624531,0.003940356049438654
2013-07-23,35760,36390,35200,35766,1130436,0.009911054637865346
2013-07-24,35833,35902,34853,35695,1236041,-0.0019851255382206112
2013-07-25,35762,36393,35692,36256,1083850,0.015716486902927596
2013-07-26,36461,36809,36319,36605,1067623,0.009625992939099826
2013-07-29,36740,38770,36671,38355,2584287,0.04780767654691975
2013-07-30,39188,40030,38489,39825,3578516,0.03832616347281981
2013-07-31,40239,45768,40099,45774,5654035,0.14937853107344634
2013-08-01,46611,47869,38911,38915,11065272,-0.14984489011229085
2013-08-02,40031,42412,37933,40315,10474049,0.03597584478992677
2013-08-05,40170,43669,39680,43045,7050429,0.0677167307453801
2013-08-06,43671,48010,43322,45214,11641756,0.05038912765710313
2013-08-07,45001,46332,43672,45494,5195658,0.00619277215021885
2013-08-08,45842,46262,44232,44235,2733859,-0.02767397898623991
2013-08-09,43667,44159,41849,42415,4588261,-0.04114389058437884
2013-08-12,41781,43040,41011,41854,3170562,-0.013226452905811592
2013-08-13,42549,43388,42339,43045,2446516,0.028456061547283307
2013-08-14,44719,45280,41990,41995,3017536,-0.024393077012428876
2013-08-16,41292,43533,40943,42695,2139614,0.016668651029884574
2013-08-19,43530,44930,43040,44935,2924963,0.05246515985478384
2013-08-20,44789,45070,43179,43675,2446379,-0.02804050294870364
2013-08-21,43743,43953,42203,42905,1981914,-0.01763022323983976
2013-08-22,42340,43180,41780,41995,2194430,-0.0212096492250321
2013-08-23,42202,43462,42062,43324,1352172,0.03164662459816636
2013-08-26,43389,43739,42830,42975,1121732,-0.008055581202105033
2013-08-27,42968,43459,41709,41925,1841854,-0.024432809773123898
2013-08-28,40730,44649,35901,40245,11646199,-0.04007155635062609
2013-08-29,40100,40520,37090,37095,5805954,-0.0782705926202013
2013-08-30,36744,36954,31566,31566,14283731,-0.1490497371613425
2013-09-02,31528,36043,31493,36046,12751832,0.1419248558575683
2013-09-03,36252,37652,34362,34645,7076816,-0.038867003273594825
2013-09-04,34469,35694,33769,35066,4740243,0.0121518256602684
2013-09-05,35835,36254,34855,34856,2485876,-0.005988707009638938
2013-09-06,35271,35482,33732,34120,2461357,-0.02111544640807894
2013-09-09,34606,34816,34080,34296,1333320,0.005158264947245028
2013-09-10,34644,36253,34363,36256,3067870,0.05714952181012367
2013-09-11,36602,37372,35972,36536,3514267,0.0077228596646072845
2013-09-12,36532,36532,35202,35415,2110749,-0.03068206700240861
2013-09-13,35761,36392,35412,35415,1365520,0.0
2013-09-16,30164,34538,30164,33491,14660352,-0.054327262459409886
2013-09-17,33870,34500,32611,32826,3479694,-0.01985608073810874
2013-09-23,33103,33453,32333,33070,1967181,0.007433132273197973
2013-09-24,33066,33486,30790,32196,4950615,-0.026428787420622935
2013-09-25,32050,33311,31771,32336,3553946,0.0043483662566778936
2013-09-26,33695,33833,32749,32755,2495328,0.012957694210786741
2013-09-27,32752,32996,32473,32475,1156245,-0.008548313234620686
2013-09-30,32438,32860,31985,32721,1124421,0.007575057736720625
2013-10-01,32789,32928,31984,32056,1050861,-0.02032333975123013
2013-10-02,31878,32194,30934,31006,2160544,-0.03275517843773401
2013-10-04,30548,31633,29777,30761,2553005,-0.007901696445849149
2013-10-07,30793,31355,30549,30586,1140941,-0.005689021813335082
2013-10-08,30374,32578,30339,32301,3444083,0.05607140521807352
2013-10-10,30724,31913,30618,31356,2209389,-0.02925606018389526
2013-10-11,31770,32154,31280,31461,1133617,0.0033486414083430116
2013-10-14,31316,33380,31316,33211,2925127,0.055624423889895525
2013-10-15,33172,33699,32157,32265,2154427,-0.028484538255397318
2013-10-16,33033,34259,32719,33701,3805631,0.044506431117309786
2013-10-17,33733,34012,33172,33560,1132992,-0.004183852111213304
2013-10-18,33769,34154,33315,33316,1002770,-0.007270560190703268
2013-10-21,33170,33416,32575,32616,1062600,-0.02101092568135432
2013-10-22,32719,33104,32509,32931,621269,0.009657836644591633
2013-10-23,33033,33173,32684,32931,729261,0.0
2013-10-24,32681,32891,32471,32826,620216,-0.00318848501412039
2013-10-25,32960,34044,32540,32546,1893608,-0.008529823920063406
2013-10-28,33239,33519,32785,32791,919383,0.007527806796534087
2013-10-29,33069,33769,32998,33316,1187564,0.01601049068341931
2013-10-30,33346,33520,32925,33036,975229,-0.008404370272541706
2013-10-31,33069,33139,32195,32231,1042834,-0.024367356822859954
2013-11-01,32015,32086,30476,30831,2516708,-0.04343644317582451
2013-11-04,30442,31282,29952,30795,1012058,-0.0011676559307191026
2013-11-05,31073,31213,30653,30726,498954,-0.002240623477837267
2013-11-06,30475,31036,29775,29781,963038,-0.03075571177504388
2013-11-07,29744,29918,27853,28031,2165126,-0.05876229810953293
2013-11-08,27609,29218,27189,28206,1809027,0.0062430880097035235
2013-11-11,28341,29775,28237,28732,1194397,0.0186485145004609
2013-11-12,29390,30055,29039,29991,1153486,0.043818738688570225
2013-11-13,30162,30686,29321,29327,915275,-0.02213997532593115
2013-11-14,29602,29987,29392,29921,418391,0.020254373103283596
2013-11-15,30164,30444,30024,30096,473016,0.005848735002172312
2013-11-18,30091,31105,29111,30446,1644884,0.011629452418926212
2013-11-19,30616,30721,29741,29816,617883,-0.020692373382381946
2013-11-20,29880,30581,29355,29396,706855,-0.0140863965656024
2013-11-21,29358,29673,29254,29291,401485,-0.003571914546196764
2013-11-22,29285,29531,28095,28696,1227012,-0.02031340684852001
2013-11-25,28552,29812,28482,29186,772844,0.017075550599386702
2013-11-26,29288,29850,29043,29711,919730,0.017988076475022208
2013-11-27,29742,30092,29182,29186,658878,-0.017670223149675257
2013-11-28,29285,29531,29040,29536,431838,0.011992050983348213
2013-11-29,30789,30999,29879,29991,1369526,0.015404929577464754
2013-12-02,29951,30722,29532,30061,795940,0.002334033543396341
2013-12-03,29743,30232,29639,29641,389937,-0.013971591098100533
2013-12-04,29534,30129,29430,29431,668781,-0.007084781215208613
2013-12-05,29285,29566,28901,28976,507467,-0.015459889232442015
2013-12-06,28799,29288,28590,28591,464646,-0.01328685808945329
2013-12-09,29007,29113,28516,28556,408118,-0.0012241614494071795
2013-12-10,28551,29565,28270,28696,1023582,0.004902647429611884
2013-12-11,28620,28900,28480,28521,391199,-0.0060984109283523935
2013-12-12,28343,28904,28343,28626,322239,0.0036814978436940926
2013-12-13,28481,28621,27851,27857,737340,-0.02686369035142877
2013-12-16,27850,28096,26031,26141,1482798,-0.0616003158990559
2013-12-17,25752,27293,25752,26946,1458970,0.03079453731685855
2013-12-18,27049,27643,26490,26492,864027,-0.016848511838491786
2013-12-19,27013,27085,25999,26072,722987,-0.015853842669485085
2013-12-20,26103,26454,25963,26246,634049,0.006673826327094234
2013-12-23,26416,27046,26380,27052,760628,0.030709441438695473
2013-12-24,27221,27571,26941,27052,575164,0.0
2013-12-26,27220,27255,26591,26631,733265,-0.015562620138991567
2013-12-27,26988,27528,26917,27495,385477,0.03244339303818866
2013-12-30,27453,27633,27309,27603,292188,0.003927986906710368
2014-01-02,27889,28321,27672,27747,555087,0.005216824258232888
2014-01-03,28713,29721,28640,29438,1782904,0.060943525426172096
2014-01-06,29614,29614,28966,29151,481785,-0.00974930362116988
2014-01-07,29145,31377,29110,31166,1914107,0.06912284312716555
2014-01-08,31452,35483,31164,34117,5026086,0.09468651735866018
2014-01-09,34008,34367,32461,33110,2840981,-0.029516077029047127
2014-01-10,33539,34042,32424,33110,2015456,0.0
2014-01-13,32782,33647,32782,33433,821170,0.009755360918151545
2014-01-14,33175,33319,32491,32497,1051608,-0.027996291089641967
2014-01-15,32996,34689,32996,33218,2988899,0.02218666338431241
2014-01-16,33645,34221,32745,32750,1870154,-0.01408874706484431
2014-01-17,32963,33685,32245,32858,1428839,0.0032977099236641827
2014-01-20,32601,32996,32276,32462,645938,-0.012051859516708285
2014-01-21,32564,32852,32274,32497,554774,0.0010781837225062318
2014-01-22,32528,32600,31988,32245,622903,-0.007754561959565476
2014-01-23,32027,32926,31738,32605,742436,0.011164521631260582
2014-01-24,33180,33647,32388,32390,1421262,-0.0065940806624751325
2014-01-27,31808,31987,30727,30734,1122771,-0.051126891015745635
2014-01-28,30877,31813,30301,31382,763154,0.021084141341836338
2014-01-29,31988,32745,31809,32210,851442,0.02638455165381437
2014-02-03,31736,32096,31304,31526,592207,-0.021235641105246783
2014-02-04,30804,31308,30804,31058,473106,-0.01484488993211952
2014-02-05,30874,31197,29002,29151,1519634,-0.06140124927554902
2014-02-06,29006,30049,28969,30014,764871,0.029604473259922548
2014-02-07,30369,30476,29936,30122,405765,0.0035983207836343123
2014-02-10,30374,31021,30121,30879,483357,0.025131133390877025
2014-02-11,30766,30872,30261,30446,482728,-0.01402247482107577
2014-02-12,30801,30837,30441,30662,328901,0.007094528016816648
2014-02-13,30657,31197,30657,30950,418729,0.009392733676863774
2014-02-14,31201,31201,30804,30879,282112,-0.002294022617124414
2014-02-17,30765,30981,30441,30698,346262,-0.005861588782020144
2014-02-18,31017,32744,30981,32174,1735752,0.04808130822854917
2014-02-19,32532,35194,32099,34441,4208837,0.07046062037670175
